사용일자,노선명,역명,승차총승객수,하차총승객수
20220106,경부선,서울역,5188,1718
20220106,경부선,남영,8528,8959
20220106,경부선,용산,30796,31072
20220106,경부선,노량진,7661,7763
20220106,경부선,대방,12730,13184
20220106,경부선,영등포,35629,36169
20220106,경부선,신도림,4077,3874
20220106,경부선,신길,8602,7266
20220106,경부선,구로,17934,18221
20220106,경부선,가산디지털단지,18386,21296
20220106,경부선,금천구청,11376,11520
20220106,경부선,석수,9378,8362
20220106,경부선,관악,6959,6470
20220106,경부선,안양,20109,20122
20220106,경부선,명학,8854,8724
20220106,경부선,금정,25824,26366
20220106,경부선,군포,7519,7454
20220106,경부선,의왕,8820,8804
20220106,경부선,성균관대,13272,13214
20220106,경부선,화서,7529,7239
20220106,경부선,수원,30814,32925
20220106,경부선,독산,18491,19362
20220106,경부선,세류,2858,2529
20220106,경부선,병점,13316,13216
20220106,경부선,세마,2623,2574
20220106,경부선,오산대,2994,2757
20220106,경부선,오산,8759,8854
20220106,경부선,진위,1572,1398
20220106,경부선,송탄,3781,3745
20220106,경부선,서정리,6160,5612
20220106,경부선,평택지제,3030,2993
20220106,경부선,평택,10144,9908
20220106,경부선,성환,2818,2828
20220106,경부선,직산,685,675
20220106,경부선,두정,4408,4346
20220106,경부선,천안,3988,4171
20220106,경부선,당정,6012,5733
20220106,경부선,서동탄,1371,1209
20220106,경부선,광명,3118,2599
20220106,경원선,이촌(국립중앙박물관),3529,2728
20220106,경원선,서빙고,1894,1725
20220106,경원선,한남,3966,3780
20220106,경원선,옥수,46,32
20220106,경원선,응봉,1845,1567
20220106,경원선,왕십리(성동구청),13054,14699
20220106,경원선,청량리(서울시립대입구),13434,14079
20220106,경원선,외대앞,6672,6837
20220106,경원선,신이문,8092,7522
20220106,경원선,석계,7694,8759
20220106,경원선,광운대,7067,6882
20220106,경원선,월계,6116,5791
20220106,경원선,녹천,4424,3719
20220106,경원선,방학,9086,9113
20220106,경원선,도봉산,7300,4583
20220106,경원선,망월사,7037,7223
20220106,경원선,회룡,12278,11959
20220106,경원선,의정부,17702,17963
20220106,경원선,가능,6101,6003
20220106,경원선,녹양,4341,4165
20220106,경원선,양주,7146,6731
20220106,경원선,덕계,2808,2550
20220106,경원선,덕정,4968,4831
20220106,경원선,지행,5996,6120
20220106,경원선,동두천중앙,2921,2832
20220106,경원선,보산,1303,1165
20220106,경원선,동두천,2049,2236
20220106,경원선,소요산,2341,2164
20220106,경의선,서울역,4186,5046
20220106,경의선,신촌,806,980
20220106,경의선,효창공원앞,2871,3356
20220106,경의선,공덕,3472,2982
20220106,경의선,서강대,1907,1967
20220106,경의선,홍대입구,1639,2004
20220106,경의선,가좌,5361,5207
20220106,경의선,디지털미디어시티,2422,2175
20220106,경의선,수색,2720,2828
20220106,경의선,화전,1491,1397
20220106,경의선,강매,3097,2785
20220106,경의선,행신,7602,7611
20220106,경의선,능곡,3582,3318
20220106,경의선,곡산,562,553
20220106,경의선,백마,6644,6432
20220106,경의선,풍산,5375,5020
20220106,경의선,일산,8957,8855
20220106,경의선,탄현,7428,7220
20220106,경의선,야당,7061,6853
20220106,경의선,운정,6672,6266
20220106,경의선,금릉,4700,4458
20220106,경의선,금촌,6286,6443
20220106,경의선,월롱,2272,2025
20220106,경의선,파주,957,692
20220106,경의선,문산,4812,4828
20220106,경의선,임진강,4,4
20220106,경인선,개봉,20518,20677
20220106,경인선,오류동,11566,10832
20220106,경인선,역곡,26067,26039
20220106,경인선,부천,30973,30742
20220106,경인선,송내,25725,25816
20220106,경인선,부평,28167,29796
20220106,경인선,백운,6520,6446
20220106,경인선,동암,14077,14067
20220106,경인선,주안,17444,15973
20220106,경인선,제물포,9602,9273
20220106,경인선,동인천,13491,12730
20220106,경인선,인천,3204,2424
20220106,경인선,구일,5818,5887
20220106,경인선,소사,8058,7882
20220106,경인선,부개,8230,7290
20220106,경인선,간석,5479,5294
20220106,경인선,도원,3031,3088
20220106,경인선,온수(성공회대입구),6135,5955
20220106,경인선,중동,8920,8529
20220106,경인선,도화,4007,3741
20220106,경춘선,신내,1889,1761
20220106,경춘선,갈매,2929,2503
20220106,경춘선,별내,3227,3066
20220106,경춘선,퇴계원,3476,3266
20220106,경춘선,사릉,3016,2944
20220106,경춘선,금곡,1427,1320
20220106,경춘선,평내호평,5718,5677
20220106,경춘선,천마산,1560,1426
20220106,경춘선,마석,3495,3390
20220106,경춘선,대성리,401,352
20220106,경춘선,청평,1389,1354
20220106,경춘선,상천,201,182
20220106,경춘선,가평,1337,1400
20220106,경춘선,굴봉산,123,142
20220106,경춘선,백양리,256,271
20220106,경춘선,강촌,290,265
20220106,경춘선,김유정,275,285
20220106,경춘선,남춘천,2006,1994
20220106,경춘선,춘천,1004,899
20220106,공항철도 1호선,서울역,6785,6376
20220106,공항철도 1호선,공덕,2204,2866
20220106,공항철도 1호선,홍대입구,9087,9319
20220106,공항철도 1호선,디지털미디어시티,14124,12741
20220106,공항철도 1호선,마곡나루(서울식물원),8573,8180
20220106,공항철도 1호선,김포공항,10909,6561
20220106,공항철도 1호선,계양,9951,9342
20220106,공항철도 1호선,검암,6516,6358
20220106,공항철도 1호선,청라국제도시,6759,6225
20220106,공항철도 1호선,운서,6376,6410
20220106,공항철도 1호선,공항화물청사,2295,2481
20220106,공항철도 1호선,인천공항1터미널,3660,3729
20220106,공항철도 1호선,인천공항2터미널,2291,2187
20220106,공항철도 1호선,영종,2782,2848
20220106,과천선,선바위,8118,7091
20220106,과천선,경마공원,1347,1364
20220106,과천선,대공원,2486,2575
20220106,과천선,과천,5880,5433
20220106,과천선,정부과천청사,10440,10268
20220106,과천선,인덕원,23845,24638
20220106,과천선,평촌,17913,17649
20220106,과천선,범계,25665,25482
20220106,분당선,선릉,14080,20884
20220106,분당선,한티,14787,15797
20220106,분당선,도곡,6696,6675
20220106,분당선,구룡,1960,1940
20220106,분당선,개포동,3636,3921
20220106,분당선,대모산입구,4286,3999
20220106,분당선,수서,12958,13277
20220106,분당선,수원,7641,6450
20220106,분당선,서울숲,10360,10434
20220106,분당선,압구정로데오,19114,20667
